1.356	0.01
1.44	0.02
1.46	0.03
1.484	0.04
1.492	0.08
1.5	0.11
1.504	0.13
1.512	0.15
1.516	0.17
1.52	0.18
1.528	0.19
1.536	0.2
1.54	0.22
1.544	0.26
1.552	0.27
1.556	0.28
1.56	0.29
1.564	0.31
1.568	0.34
1.572	0.35
1.576	0.39
1.58	0.42
1.584	0.44
1.588	0.45
1.592	0.49
1.596	0.5
1.6	0.54
1.608	0.55
1.612	0.56
1.616	0.62
1.624	0.65
1.628	0.68
1.632	0.69
1.636	0.74
1.64	0.75
1.644	0.76
1.648	0.77
1.652	0.78
1.66	0.8
1.668	0.82
1.68	0.84
1.684	0.86
1.692	0.9
1.7	0.91
1.712	0.92
1.72	0.94
1.724	0.95
1.732	0.96
1.74	0.97
1.744	0.98
1.748	0.99
1.84	1.0
